detection_type,filename,val_loss,val_psnr,val_ssim,noise
Direct Detection,annd40by40and240m,0.16855698451399803,13.519978284835815,0.40299443155527115,0
QPMS,0p5tfv40by40and240m,0.040588279254734516,19.668685913085938,0.8676502704620361,0.5
QPMS,100tfv40by40and240m,0.10539534129202366,15.308143377304077,0.6365064233541489,100
QPMS,10tfv40by40and240m,0.0604361966252327,18.020347118377686,0.7972361296415329,10
QPMS,1tfv40by40and240m,0.03723997063934803,20.355040073394775,0.8713514804840088,1
QPMS,200tfv40by40and240m,0.12907571345567703,14.592074871063232,0.5462784618139267,200
QPMS,20tfv40by40and240m,0.05312060099095106,18.72127628326416,0.8252330869436264,20
QPMS,2tfv40by40and240m,0.05049453116953373,18.794929027557373,0.8326340168714523,2
QPMS,50tfv40by40and240m,0.0762602798640728,16.91261911392212,0.742211788892746,50
QPMS,5tfv40by40and240m,0.05739934556186199,18.07490062713623,0.8048713058233261,5
QPMS,nnfv40by40and240m,0.03556789644062519,20.556142330169678,0.8825174123048782,0
